Address,Date_sampled,Municipality,RDT_ppb
A1,10/29/2018,Utility A,0.694
A2,10/29/2018,Utility A,1.255
A3,10/29/2018,Utility A,0.329
A4,10/29/2018,Utility A,0.885
A5,10/29/2018,Utility A,22.97
A6,10/29/2018,Utility A,0.161
A7,10/29/2018,Utility A,0.089
A8,10/29/2018,Utility A,0.794
A9,10/29/2018,Utility A,0.112
A10,10/29/2018,Utility A,0.755
A11,10/29/2018,Utility A,0.421
A12,10/29/2018,Utility A,2.479
A13,10/29/2018,Utility A,1.072
A14,10/29/2018,Utility A,0.391
A15,10/29/2018,Utility A,0.519
A16,10/2/2018,Utility A,0.3
A17,8/29/2018,Utility A,0.054
A18,8/29/2018,Utility A,9.1
A19,8/29/2018,Utility A,1.654
A20,8/29/2018,Utility A,0.769
A21,8/29/2018,Utility A,0.059
A22,8/29/2018,Utility A,1.877
A23,8/29/2018,Utility A,0.056
A24,8/29/2018,Utility A,4.621
A25,8/29/2018,Utility A,1.223
A26,8/29/2018,Utility A,4.554
A27,8/29/2018,Utility A,0.378
A28,10/2/2018,Utility A,7.703
A29,11/5/2018,Utility A,0.225
A30,11/5/2018,Utility A,6.959
A31,11/5/2018,Utility A,2.76
A32,11/5/2018,Utility A,-0.027
A33,11/5/2018,Utility A,-0.078
A34,11/5/2018,Utility A,-0.111
A35,11/5/2018,Utility A,0.303
A36,11/5/2018,Utility A,0.56
A37,11/5/2018,Utility A,0.4
B1,10/29/2018,Utility B,2.487
B2,10/29/2018,Utility B,0.083
B3,10/29/2018,Utility B,0.301
B4,8/29/2018,Utility B,0.196
B5,8/29/2018,Utility B,0.728
B6,8/29/2018,Utility B,0.567
B7,8/29/2018,Utility B,0.24
B8,8/29/2018,Utility B,3.555
B9,8/29/2018,Utility B,1.453
B10,8/29/2018,Utility B,0.621
B11,8/29/2018,Utility B,1.758
B12,8/29/2018,Utility B,0.358
B13,6/20/2020,Utility B,0.153
B14,6/20/2020,Utility B,0.039
B15,6/20/2020,Utility B,0.016
B16,6/20/2020,Utility B,0.247
B17,6/20/2020,Utility B,0.326
B18,6/20/2020,Utility B,0.279
B19,6/20/2020,Utility B,0.096
B20,6/20/2020,Utility B,0.06
B21,6/20/2020,Utility B,0.061
B22,6/20/2020,Utility B,3.567
B23,6/20/2020,Utility B,1.872
B24,6/20/2020,Utility B,0.392
B25,10/29/2018,Utility B,0.506
B26,10/29/2018,Utility B,0.389
B27,10/29/2018,Utility B,0.368
B28,10/29/2018,Utility B,0.168
B29 ,6/20/2020,Utility B,
C1,10/29/2018,Utility C,0.01
C2,10/29/2018,Utility C,0.203
C3,10/29/2018,Utility C,0.01
C4,10/29/2018,Utility C,-0.006
C5,10/29/2018,Utility C,0.029
C6,10/29/2018,Utility C,-0.007
C7,10/29/2018,Utility C,0.076
C8,10/29/2018,Utility C,0.444
C9,10/29/2018,Utility C,0.002
C10,10/29/2018,Utility C,3.233
C11,10/29/2018,Utility C,0.438
C12,10/29/2018,Utility C,0.159
C13,10/29/2018,Utility C,0.201
C14,10/29/2018,Utility C,0.092
C15,10/29/2018,Utility C,0.657
C16,10/29/2018,Utility C,0.038
C17,10/29/2018,Utility C,1.25
C18,10/29/2018,Utility C,0.765
C19,10/29/2018,Utility C,0.785
C20,10/29/2018,Utility C,0.383
C21,10/29/2018,Utility C,
C22,10/29/2018,Utility C,
D1,10/29/2018,Utility D,0.204
D2,10/29/2018,Utility D,0.023
D3,10/29/2018,Utility D,0.132
D4,10/29/2018,Utility D,4.692
D5,10/29/2018,Utility D,0.305
D6,10/29/2018,Utility D,0.098
D7,10/29/2018,Utility D,0.152
D8,10/29/2018,Utility D,-0.006
D9,10/29/2018,Utility D,0.299
D10,10/29/2018,Utility D,0.003
D11,10/29/2018,Utility D,0.053
D12,10/29/2018,Utility D,0.003
D13,10/29/2018,Utility D,0.012
D14,10/29/2018,Utility D,-0.008
D15,10/29/2018,Utility D,0.049
D16,10/29/2018,Utility D,-0.007
D17,10/29/2018,Utility D,
D18,6/20/2020,Utility D,
